Id,Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
bufr4/3/03/001/1/007003,03,Meteorological sequences common to vertical soundings data,303001,Geopotential,,007003,Geopotential,,,,Operational
bufr4/3/03/001/2/011001,03,Meteorological sequences common to vertical soundings data,303001,Geopotential,,011001,Wind direction,,,,Operational
bufr4/3/03/001/3/011002,03,Meteorological sequences common to vertical soundings data,303001,Geopotential,,011002,Wind speed (Wind at pressure level),,,,Operational
bufr4/3/03/002/1/007004,03,Meteorological sequences common to vertical soundings data,303002,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/002/2/011001,03,Meteorological sequences common to vertical soundings data,303002,Pressure,,011001,Wind direction,,,,Operational
bufr4/3/03/002/3/011002,03,Meteorological sequences common to vertical soundings data,303002,Pressure,,011002,Wind speed,,,,Operational
bufr4/3/03/003/1/007004,03,Meteorological sequences common to vertical soundings data,303003,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/003/2/010003,03,Meteorological sequences common to vertical soundings data,303003,Pressure,,010003,Geopotential,,,,Operational
bufr4/3/03/003/3/012001,03,Meteorological sequences common to vertical soundings data,303003,Pressure,,012001,Temperature/air temperature,,,,Operational
bufr4/3/03/003/4/012003,03,Meteorological sequences common to vertical soundings data,303003,Pressure,,012003,Dewpoint temperature,,,,Operational
bufr4/3/03/004/1/007004,03,Meteorological sequences common to vertical soundings data,303004,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/004/2/010003,03,Meteorological sequences common to vertical soundings data,303004,Pressure,,010003,Geopotential,,,,Operational
bufr4/3/03/004/3/012001,03,Meteorological sequences common to vertical soundings data,303004,Pressure,,012001,Temperature/air temperature,,,,Operational
bufr4/3/03/004/4/012003,03,Meteorological sequences common to vertical soundings data,303004,Pressure,,012003,Dewpoint temperature,,,,Operational
bufr4/3/03/004/5/011001,03,Meteorological sequences common to vertical soundings data,303004,Pressure,,011001,Wind direction,,,,Operational
bufr4/3/03/004/6/011002,03,Meteorological sequences common to vertical soundings data,303004,Pressure,,011002,Wind speed (Wind at height),,,,Operational
bufr4/3/03/011/1/007003,03,Meteorological sequences common to vertical soundings data,303011,Geopotential,,007003,Geopotential,,,,Operational
bufr4/3/03/011/2/008001,03,Meteorological sequences common to vertical soundings data,303011,Geopotential,,008001,Vertical sounding significance,,,,Operational
bufr4/3/03/011/3/011001,03,Meteorological sequences common to vertical soundings data,303011,Geopotential,,011001,Wind direction,,,,Operational
bufr4/3/03/011/4/011002,03,Meteorological sequences common to vertical soundings data,303011,Geopotential,,011002,Wind speed (Wind at pressure level),,,,Operational
bufr4/3/03/012/1/007004,03,Meteorological sequences common to vertical soundings data,303012,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/012/2/008001,03,Meteorological sequences common to vertical soundings data,303012,Pressure,,008001,Vertical sounding significance,,,,Operational
bufr4/3/03/012/3/011001,03,Meteorological sequences common to vertical soundings data,303012,Pressure,,011001,Wind direction,,,,Operational
bufr4/3/03/012/4/011002,03,Meteorological sequences common to vertical soundings data,303012,Pressure,,011002,"Wind speed (Geopotential, temperature, humidity, wind at pressure level)",,,,Operational
bufr4/3/03/013/1/007004,03,Meteorological sequences common to vertical soundings data,303013,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/013/2/008001,03,Meteorological sequences common to vertical soundings data,303013,Pressure,,008001,Vertical sounding significance,,,,Operational
bufr4/3/03/013/3/010003,03,Meteorological sequences common to vertical soundings data,303013,Pressure,,010003,Geopotential,,,,Operational
bufr4/3/03/013/4/012001,03,Meteorological sequences common to vertical soundings data,303013,Pressure,,012001,Temperature/air temperature,,,,Operational
bufr4/3/03/013/5/013003,03,Meteorological sequences common to vertical soundings data,303013,Pressure,,013003,Relative humidity,,,,Operational
bufr4/3/03/013/6/011001,03,Meteorological sequences common to vertical soundings data,303013,Pressure,,011001,Wind direction,,,,Operational
bufr4/3/03/013/7/011002,03,Meteorological sequences common to vertical soundings data,303013,Pressure,,011002,"Wind speed (Geopotential, temperature, dewpoint temperature, wind at pressure level)",,,,Operational
bufr4/3/03/014/1/007004,03,Meteorological sequences common to vertical soundings data,303014,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/014/2/008001,03,Meteorological sequences common to vertical soundings data,303014,Pressure,,008001,Vertical sounding significance,,,,Operational
bufr4/3/03/014/3/010003,03,Meteorological sequences common to vertical soundings data,303014,Pressure,,010003,Geopotential,,,,Operational
bufr4/3/03/014/4/012001,03,Meteorological sequences common to vertical soundings data,303014,Pressure,,012001,Temperature/air temperature I.2,(continued) – BUFR Table D/03 — 1,,,Operational
bufr4/3/03/014/1/012003,03,Meteorological sequences common to vertical soundings data,303014,Dewpoint temperature,,012003,Dewpoint temperature,,,,Operational
bufr4/3/03/014/2/011001,03,Meteorological sequences common to vertical soundings data,303014,Dewpoint temperature,,011001,Wind direction,,,,Operational
bufr4/3/03/014/3/011002,03,Meteorological sequences common to vertical soundings data,303014,Dewpoint temperature,,011002,"Wind speed (Layer, quality)",,,,Operational
bufr4/3/03/021/1/007004,03,Meteorological sequences common to vertical soundings data,303021,Pressure Define layer,,007004,Pressure Define layer,,,,Operational
bufr4/3/03/021/2/007004,03,Meteorological sequences common to vertical soundings data,303021,Pressure Define layer,,007004,Pressure,,,,Operational
bufr4/3/03/021/3/204007,03,Meteorological sequences common to vertical soundings data,303021,Pressure Define layer,,204007,Add associated field,7 bits long,,,Operational
bufr4/3/03/021/4/031021,03,Meteorological sequences common to vertical soundings data,303021,Pressure Define layer,,031021,Associated field significance,,,,Operational
bufr4/3/03/022/1/303021,03,Meteorological sequences common to vertical soundings data,303022,"Layer, quality",,303021,"Layer, quality",,,,Operational
bufr4/3/03/022/2/010003,03,Meteorological sequences common to vertical soundings data,303022,"Layer, quality",,010003,Geopotential,Layer mean thickness,,,Operational
bufr4/3/03/022/3/204000,03,Meteorological sequences common to vertical soundings data,303022,"Layer, quality",,204000,Add associated field (Layer mean temperature),Cancel,,,Operational
bufr4/3/03/023/1/303021,03,Meteorological sequences common to vertical soundings data,303023,"Layer, quality",,303021,"Layer, quality",,,,Operational
bufr4/3/03/023/2/012001,03,Meteorological sequences common to vertical soundings data,303023,"Layer, quality",,012001,Temperature/air temperature,Layer mean,,,Operational
bufr4/3/03/023/3/204000,03,Meteorological sequences common to vertical soundings data,303023,"Layer, quality",,204000,Add associated field (Precipitable water),Cancel,,,Operational
bufr4/3/03/024/1/303021,03,Meteorological sequences common to vertical soundings data,303024,"Layer, quality",,303021,"Layer, quality",,,,Operational
bufr4/3/03/024/2/013016,03,Meteorological sequences common to vertical soundings data,303024,"Layer, quality",,013016,Precipitable water,,,,Operational
bufr4/3/03/024/3/204000,03,Meteorological sequences common to vertical soundings data,303024,"Layer, quality",,204000,Add associated field (Satellite channel and brightness temperature),Cancel,,,Operational
bufr4/3/03/025/1/002025,03,Meteorological sequences common to vertical soundings data,303025,Satellite channel(s) used in computation,,002025,Satellite channel(s) used in computation,,,,Operational
bufr4/3/03/025/2/204007,03,Meteorological sequences common to vertical soundings data,303025,Satellite channel(s) used in computation,,204007,Add associated field,7 bits long,,,Operational
bufr4/3/03/025/3/031021,03,Meteorological sequences common to vertical soundings data,303025,Satellite channel(s) used in computation,,031021,Associated field significance,,,,Operational
bufr4/3/03/025/4/012063,03,Meteorological sequences common to vertical soundings data,303025,Satellite channel(s) used in computation,,012063,Brightness temperature,,,,Operational
bufr4/3/03/025/5/204000,03,Meteorological sequences common to vertical soundings data,303025,Satellite channel(s) used in computation,,204000,Add associated field,Cancel,,,Operational
bufr4/3/03/026/1/007004,03,Meteorological sequences common to vertical soundings data,303026,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/026/2/008003,03,Meteorological sequences common to vertical soundings data,303026,Pressure,,008003,Vertical significance (satellite observations),,,,Operational
bufr4/3/03/026/3/204007,03,Meteorological sequences common to vertical soundings data,303026,Pressure,,204007,Add associated field,7 bits long,,,Operational
bufr4/3/03/026/4/031021,03,Meteorological sequences common to vertical soundings data,303026,Pressure,,031021,Associated field significance,,,,Operational
bufr4/3/03/026/5/012001,03,Meteorological sequences common to vertical soundings data,303026,Pressure,,012001,Temperature/air temperature,,,,Operational
bufr4/3/03/026/6/204000,03,Meteorological sequences common to vertical soundings data,303026,Pressure,,204000,Add associated field,Cancel,,,Operational
bufr4/3/03/027/1/007004,03,Meteorological sequences common to vertical soundings data,303027,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/027/2/204007,03,Meteorological sequences common to vertical soundings data,303027,Pressure,,204007,Add associated field,7 bits long,,,Operational
bufr4/3/03/027/3/031021,03,Meteorological sequences common to vertical soundings data,303027,Pressure,,031021,Associated field significance,,,,Operational
bufr4/3/03/027/4/010003,03,Meteorological sequences common to vertical soundings data,303027,Pressure,,010003,Geopotential,,,,Operational
bufr4/3/03/027/5/204000,03,Meteorological sequences common to vertical soundings data,303027,Pressure,,204000,Add associated field,Cancel,,,Operational
bufr4/3/03/031/1/007004,03,Meteorological sequences common to vertical soundings data,303031,Pressure,,007004,Pressure,,,,Operational
bufr4/3/03/031/2/008003,03,Meteorological sequences common to vertical soundings data,303031,Pressure,,008003,Vertical significance (satellite observations),Base of sounding,,,Operational
bufr4/3/03/031/3/007021,03,Meteorological sequences common to vertical soundings data,303031,Pressure,,007021,Elevation,Local zenith,,,Operational
bufr4/3/03/031/4/007022,03,Meteorological sequences common to vertical soundings data,303031,Pressure,,007022,Solar elevation,Solar zenith,,,Operational
bufr4/3/03/031/5/008012,03,Meteorological sequences common to vertical soundings data,303031,Pressure,,008012,Land/sea qualifier,,,,Operational
bufr4/3/03/031/6/012061,03,Meteorological sequences common to vertical soundings data,303031,Pressure,,012061,Skin temperature (Cloud),,,,Operational
bufr4/3/03/032/1/020011,03,Meteorological sequences common to vertical soundings data,303032,Cloud amount,,020011,Cloud amount,,,,Operational
bufr4/3/03/032/2/020016,03,Meteorological sequences common to vertical soundings data,303032,Cloud amount,,020016,Pressure at top of cloud (Cloud),,,,Operational
bufr4/3/03/033/1/020010,03,Meteorological sequences common to vertical soundings data,303033,Cloud cover (total),,020010,Cloud cover (total),,,,Operational
bufr4/3/03/033/2/020016,03,Meteorological sequences common to vertical soundings data,303033,Cloud cover (total),,020016,Pressure at top of cloud (Radiosonde duration of flight and termination information),,,,Operational
bufr4/3/03/040/1/008041,03,Meteorological sequences common to vertical soundings data,303040,Data significance,,008041,Data significance,= 7 Flight level termination point,,,Operational
