Id,Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
bufr4/3/40/001/1/001007,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,001007,Satellite identifier,,,,Operational
bufr4/3/40/001/2/001031,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,001031,Identification of originating/generating centre,,,,Operational
bufr4/3/40/001/3/002019,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,002019,Satellite instruments,,,,Operational
bufr4/3/40/001/4/002020,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,002020,Satellite classification,,,,Operational
bufr4/3/40/001/5/004001,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,004001,Year,,,,Operational
bufr4/3/40/001/6/004002,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,004002,Month,,,,Operational
bufr4/3/40/001/7/004003,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,004003,Day,,,,Operational
bufr4/3/40/001/8/004004,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,004004,Hour,,,,Operational
bufr4/3/40/001/9/004005,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,004005,Minute,,,,Operational
bufr4/3/40/001/10/202131,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,202131,Change scale Add 3 to scale,,,,Operational
bufr4/3/40/001/11/201138,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,201138,Change data width Add 10 to width,,,,Operational
bufr4/3/40/001/12/004006,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,004006,Second,,,,Operational
bufr4/3/40/001/13/201000,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,201000,Change data width Cancel,,,,Operational
bufr4/3/40/001/14/202000,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,202000,Change scale Cancel,,,,Operational
bufr4/3/40/001/15/005001,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,005001,Latitude (high accuracy),,,,Operational
bufr4/3/40/001/16/006001,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,006001,Longitude (high accuracy),,,,Operational
bufr4/3/40/001/17/007024,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,007024,Satellite zenith angle,,,,Operational
bufr4/3/40/001/18/005021,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,005021,Bearing or azimuth,,,,Operational
bufr4/3/40/001/19/007025,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,007025,Solar zenith angle,,,,Operational
bufr4/3/40/001/20/005022,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,005022,Solar azimuth,,,,Operational
bufr4/3/40/001/21/005043,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,005043,Field of view number,,,,Operational
bufr4/3/40/001/22/005040,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,005040,Orbit number,,,,Operational
bufr4/3/40/001/23/201133,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,201133,Change data width Add 5 to width,,,,Operational
bufr4/3/40/001/24/005041,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,005041,Scan line number,,,,Operational
bufr4/3/40/001/25/201000,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,201000,Change data width Cancel,,,,Operational
bufr4/3/40/001/26/201132,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,201132,Change data width Add 4 to width,,,,Operational
bufr4/3/40/001/27/025070,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,025070,Major frame count,,,,Operational
bufr4/3/40/001/28/201000,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,201000,Change data width Cancel,,,,Operational
bufr4/3/40/001/29/202126,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,202126,Change scale Subtract 2 from scale,,,,Operational
bufr4/3/40/001/30/007001,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,007001,Height of station,,,,Operational
bufr4/3/40/001/31/202000,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,202000,Change scale Cancel,,,,Operational
bufr4/3/40/001/32/033060,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,033060,GqisFlagQual – individual IASI-System quality flag,,,,Operational
bufr4/3/40/001/33/033061,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,033061,GqisQualIndex – indicator for instrument noise performance (contributions from spectral and radiometric calibration),,,,Operational
bufr4/3/40/001/34/033062,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,033062,GqisQualIndexLoc – indicator for geometric quality index,,,,Operational
bufr4/3/40/001/35/033063,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,033063,GqisQualIndexRad – indicator for instrument noise performance (contributions from radiometric calibration),,,,Operational
bufr4/3/40/001/36/033064,40,Category 40 — Additional satellite report sequences,340001,(IASI Level 1c data),,033064,GqisQualIndexSpect – indicator for instrument noise performance (contributions from spectral calibration) I.2 – BUFR Table D/40 — 1,,,,Operational
bufr4/3/40/001/37/033065,40,Category 40 — Additional satellite report sequences,340001,,,033065,GqisSysTecSondQual – output of system TEC,,,,Operational
bufr4/3/40/001/38/101010,40,Category 40 — Additional satellite report sequences,340001,,,101010,Replicate 1 descriptor 10 times,,,,Operational
bufr4/3/40/001/39/340002,40,Category 40 — Additional satellite report sequences,340001,,,340002,Band description,,,,Operational
bufr4/3/40/001/40/101087,40,Category 40 — Additional satellite report sequences,340001,,,101087,Replicate 1 descriptor 87 times,,,,Operational
bufr4/3/40/001/41/340003,40,Category 40 — Additional satellite report sequences,340001,,,340003,IASI Level 1c 100 channels,,,,Operational
bufr4/3/40/001/42/002019,40,Category 40 — Additional satellite report sequences,340001,,,002019,Satellite instruments,,,,Operational
bufr4/3/40/001/43/025051,40,Category 40 — Additional satellite report sequences,340001,,,025051,AVHRR channel combination,,,,Operational
bufr4/3/40/001/44/101007,40,Category 40 — Additional satellite report sequences,340001,,,101007,Replicate 1 descriptor 7 times,,,,Operational
bufr4/3/40/001/45/340004,40,Category 40 — Additional satellite report sequences,340001,,,340004,IASI Level 1c AVHRR single scene (Band description),,,,Operational
bufr4/3/40/002/1/025140,40,Category 40 — Additional satellite report sequences,340002,(Technical Expertise Centre) quality function Replicate 1 descriptor 10 times Band description Replicate 1 descriptor 87 times IASI Level 1c 100 channels Satellite instruments AVHRR channel combination Replicate 1 descriptor 7 times IASI Level 1c AVHRR single scene (Band description),,025140,Start channel,,,,Operational
