Id,Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status,translated_by
bufr4/3/13/009/1/021001,13,Secuencias comunes a los datos en forma de imágenes,313009,,,021001,,,,,Operational,Original
bufr4/3/13/009/2/101000,13,Secuencias comunes a los datos en forma de imágenes,313009,,,101000,,,,,Operational,Original
bufr4/3/13/009/3/031001,13,Secuencias comunes a los datos en forma de imágenes,313009,,,031001,,,,,Operational,Original
bufr4/3/13/009/4/021001,13,Secuencias comunes a los datos en forma de imágenes,313009,,,021001,,,,,Operational,Original
bufr4/3/13/010/1/021036,13,Secuencias comunes a los datos en forma de imágenes,313010,,,021036,,,,,Operational,Original
bufr4/3/13/010/2/101000,13,Secuencias comunes a los datos en forma de imágenes,313010,,,101000,,,,,Operational,Original
bufr4/3/13/010/3/031001,13,Secuencias comunes a los datos en forma de imágenes,313010,,,031001,,,,,Operational,Original
bufr4/3/13/010/4/021036,13,Secuencias comunes a los datos en forma de imágenes,313010,,,021036,,,,,Operational,Original
bufr4/3/13/031/1/006002,13,Secuencias comunes a los datos en forma de imágenes,313031,,,006002,Primera localización de longitud menos un incremento,,,,Operational,Original
bufr4/3/13/031/2/006012,13,Secuencias comunes a los datos en forma de imágenes,313031,,,006012,,,,,Operational,Original
bufr4/3/13/031/3/101000,13,Secuencias comunes a los datos en forma de imágenes,313031,,,101000,,,,,Operational,Original
bufr4/3/13/031/4/031002,13,Secuencias comunes a los datos en forma de imágenes,313031,,,031002,,,,,Operational,Original
bufr4/3/13/031/5/030001,13,Secuencias comunes a los datos en forma de imágenes,313031,,,030001,,,,,Operational,Original
bufr4/3/13/032/1/005002,13,Secuencias comunes a los datos en forma de imágenes,313032,,,005002,Primera localización de latitud menos un incremento,,,,Operational,Original
bufr4/3/13/032/2/005012,13,Secuencias comunes a los datos en forma de imágenes,313032,,,005012,Valor señalado para que no pase a través del polo,,,,Operational,Original
bufr4/3/13/032/3/101000,13,Secuencias comunes a los datos en forma de imágenes,313032,,,101000,,,,,Operational,Original
bufr4/3/13/032/4/031002,13,Secuencias comunes a los datos en forma de imágenes,313032,,,031002,,,,,Operational,Original
bufr4/3/13/032/5/313031,13,Secuencias comunes a los datos en forma de imágenes,313032,,,313031,,,,,Operational,Original
bufr4/3/13/041/1/006002,13,Secuencias comunes a los datos en forma de imágenes,313041,,,006002,Primera localización de longitud menos un incremento,,,,Operational,Original
