Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,Status,translated_by
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B01007,Identificador del satélite,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B02019,Instrumentos satelitales,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B04001,Año,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B04002,Mes,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B04003,Día,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B04004,Hora,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B04005,Minuto,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B04006,Segundo,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B05001,Latitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B06001,Longitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B27001,Latitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B28001,Longitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B27001,Latitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B28001,Longitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B27001,Latitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B28001,Longitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B27001,Latitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B28001,Longitud (alta precisión),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B10001,Altura de la superficie terrestre,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B14019,Albedo de la superficie,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B07025,ángulo cenital del sol,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B10080,Ángulo cenital de visión,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B05023,Diferencia de acimut del Sol al satélite,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B20010,cobertura de nubes (total),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B08003,Significación vertical (satellite observations),,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B07004,Presión,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B14026,Albedo en la parte superior de las nubes,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B20014,Altura de la cima de la nube,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B13093,Espesor óptico de las nubes,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,R05000,Replicación retrasada de 5 descriptores,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B07004,Presión,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B07004,Presión,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B08043,Tipo de constituyente químico o físico atmosférico,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B08044,Número de registro CAS,,,Operational,AI Translator: MCP
22,Secuencias químicas y de aerosoles,D22028,(METOP GOME-2),,B15021,Densidad de masa integrada,,,Operational,AI Translator: MCP
