Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,Status,translated_by
16,Secuencias de las características sinópticas,D16001,,,D01011,"Año, mes, día",,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B04004,Hora,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,D01023,Latitud/longitud (exactitud aproximada),,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B01021,Identificador de la característica sinóptica,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B02041,Método para la estimación de informes relativos a la Característica sinóptica,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B19001,Tipo de característica sinóptica,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B10051,Presión reducida a nivel medio del mar,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B19002,Radio efectivo de la característica,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B19003,Umbral de velocidad del viento,Generalmente 15 m s–1,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16001,,,B19004,Radio efectivo de las velocidades del viento por encima del umbral,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B08021,Significación temporal,Hora de los datos (análisis),,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04001,Año,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04002,Mes,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04003,Día,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04004,Hora,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04005,Minuto,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B01033,Identificación del centro de origen/ generación,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B08021,Significación temporal,Hora de validez (pronóstico),,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04001,Año,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04002,Mes,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04003,Día,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04004,Hora,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B04005,Minuto,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B07002,Altura o altitud,Nivel de vuelo (base de la capa del mapa),,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16002,(Encabezamiento),,B07002,Altura o altitud,Nivel de vuelo (cima de la capa del mapa),,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,R09000,Repetición diferida de 9 descriptores,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B08011,Característica meteorológica,Valor de la corriente de chorro,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B08007,Significación dimensional,Valor de la línea,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,R04000,Repetición diferida de 4 descriptores,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B05002,Latitud (precisión aproximada),,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B06002,Longitud (precisión aproximada),,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B10002,Altura,Nivel de vuelo,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B11002,Velocidad del viento,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B08007,Significación dimensional,Anular,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16003,Corriente de chorro,,B08011,Característica meteorológica,Anular | Fin del objeto,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,R10000,Repetición diferida de 10 descriptores,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B08011,Característica meteorológica,Valor de la turbulencia,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B08007,Significación dimensional,Valor del área,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B07002,Altura o altitud,Nivel de vuelo (base de la capa),,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B07002,Altura o altitud,Nivel de vuelo (cima de la capa),,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,R02000,Repetición diferida de 2 descriptores,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B05002,Latitud (precisión aproximada),,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B06002,Longitud (precisión aproximada),,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B11031,Grado de turbulencia,,(véase la nota 1),Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B08007,Significación dimensional,Anular,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16004,Turbulencia,,B08011,Característica meteorológica,Anular | Fin del objeto,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,R08000,Repetición diferida de 8 descriptores,,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B08005,Significación del atributo meteorológico,Centro de la tormenta,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B08007,Significación dimensional,Valor del punto,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B05002,Latitud (precisión aproximada),,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B06002,Longitud (precisión aproximada),,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B01026,Nombre OMM de la tormenta+,Se utiliza “UNKNOWN” para una tempestad de arena,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B19001,Tipo de característica sinóptica,Valor correspondiente al tipo de tormenta,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B08007,Significación dimensional,Anular,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16005,Tormenta,,B08005,Significación del atributo meteorológico,Anular | Fin del objeto,,Operational,AI Translator: MCP
16,Secuencias de las características sinópticas,D16006,Nubes,,R11000,Repetición diferida de 11 descriptores,,,Operational,AI Translator: MCP
